y,x,ref,highway,street_count,geometry
40.7115207,-73.9806225,,,3,POINT (-73.9806225 40.7115207)
40.76366,-73.973464,,traffic_signals,4,POINT (-73.97346400000001 40.76366)
40.7639334,-73.974111,,,3,POINT (-73.97411099999999 40.7639334)
40.855598,-73.927319,,,3,POINT (-73.927319 40.855598)
40.856182,-73.928716,,traffic_signals,4,POINT (-73.92871599999999 40.856182)
40.8566083,-73.9297266,,,3,POINT (-73.9297266 40.8566083)
40.857841,-73.932043,,traffic_signals,3,POINT (-73.93204299999999 40.857841)
40.858113,-73.932983,,,3,POINT (-73.93298299999999 40.858113)
40.745301,-73.986846,,traffic_signals,4,POINT (-73.986846 40.745301)
40.7460455,-73.9886122,,traffic_signals,4,POINT (-73.98861220000001 40.7460455)
40.746659,-73.990067,,traffic_signals,4,POINT (-73.990067 40.746659)
40.7478553,-73.9929106,,traffic_signals,4,POINT (-73.9929106 40.7478553)
40.7490521,-73.9957492,,traffic_signals,4,POINT (-73.99574920000001 40.7490521)
40.7502567,-73.998626,,traffic_signals,4,POINT (-73.998626 40.7502567)
40.7514485,-74.0014254,,traffic_signals,4,POINT (-74.0014254 40.7514485)
40.7526457,-74.0042703,,traffic_signals,4,POINT (-74.0042703 40.7526457)
40.75379,-74.0070337,,traffic_signals,4,POINT (-74.00703369999999 40.75379)
40.8134293,-73.9371437,,,3,POINT (-73.93714369999999 40.8134293)
40.8621121,-73.9300037,,traffic_signals,3,POINT (-73.9300037 40.8621121)
40.8622107,-73.9296676,,,3,POINT (-73.9296676 40.8622107)
40.8626215,-73.9286059,,,3,POINT (-73.92860589999999 40.8626215)
40.862926,-73.927766,,traffic_signals,4,POINT (-73.92776600000001 40.862926)
40.863238,-73.926923,,traffic_signals,4,POINT (-73.926923 40.863238)
40.863575,-73.926011,,traffic_signals,4,POINT (-73.926011 40.863575)
40.864403,-73.923767,,traffic_signals,4,POINT (-73.923767 40.864403)
40.8651,-73.921884,,traffic_signals,4,POINT (-73.92188400000001 40.8651)
40.865797,-73.919996,,traffic_signals,4,POINT (-73.919996 40.865797)
40.866315,-73.918596,,traffic_signals,4,POINT (-73.91859599999999 40.866315)
40.866813,-73.917205,,traffic_signals,3,POINT (-73.917205 40.866813)
40.8272063,-73.9424535,,traffic_signals,4,POINT (-73.9424535 40.8272063)
40.827823,-73.941997,,,3,POINT (-73.941997 40.827823)
40.828447,-73.94154,,,3,POINT (-73.94154 40.828447)
40.829083,-73.941078,,,3,POINT (-73.941078 40.829083)
40.830292,-73.9402243,,traffic_signals,4,POINT (-73.9402243 40.830292)
40.7820374,-73.9717336,,traffic_signals,4,POINT (-73.97173359999999 40.7820374)
40.8745523,-73.9096352,,traffic_signals,4,POINT (-73.9096352 40.8745523)
40.8746713,-73.9110993,,,3,POINT (-73.9110993 40.8746713)
40.8750497,-73.9122655,,,3,POINT (-73.9122655 40.8750497)
40.8756706,-73.9128004,,,3,POINT (-73.91280039999999 40.8756706)
40.7045537,-74.0094775,,,4,POINT (-74.0094775 40.7045537)
40.759913,-73.958809,,traffic_signals,4,POINT (-73.958809 40.759913)
40.7605433,-73.9583477,,traffic_signals,4,POINT (-73.9583477 40.7605433)
40.7611623,-73.9579282,,traffic_signals,5,POINT (-73.9579282 40.7611623)
40.7617963,-73.9574532,,traffic_signals,3,POINT (-73.9574532 40.7617963)
40.7624221,-73.9569952,,traffic_signals,3,POINT (-73.95699519999999 40.7624221)
40.7630478,-73.9565374,,traffic_signals,3,POINT (-73.9565374 40.7630478)
40.7636674,-73.956084,,traffic_signals,3,POINT (-73.956084 40.7636674)
40.7642963,-73.9556238,,traffic_signals,4,POINT (-73.9556238 40.7642963)
40.7649208,-73.9551668,,traffic_signals,3,POINT (-73.9551668 40.7649208)
40.765554,-73.9547034,,traffic_signals,3,POINT (-73.9547034 40.765554)
40.7661805,-73.9542449,,traffic_signals,4,POINT (-73.95424490000001 40.7661805)
40.7668593,-73.9537482,,traffic_signals,4,POINT (-73.95374820000001 40.7668593)
40.7675414,-73.953249,,traffic_signals,4,POINT (-73.953249 40.7675414)
40.7681847,-73.9527843,,traffic_signals,4,POINT (-73.9527843 40.7681847)
40.7688236,-73.9523229,,traffic_signals,4,POINT (-73.9523229 40.7688236)
40.7694526,-73.9518686,,traffic_signals,4,POINT (-73.9518686 40.7694526)
