,node,y,x,ref,highway,street_count
11137,42515098,40.670328,-73.888773,,,4
11138,42515102,40.670462,-73.887869,,,4
11139,42515111,40.6711,-73.883566,,,4
11140,42515121,40.671598,-73.880178,,,4
11141,42515129,40.67213,-73.876487,,,4
11142,42515133,40.672263,-73.875566,,traffic_signals,4
11143,42515136,40.672511,-73.873719,,,3
11144,42515144,40.673011,-73.870367,,,4
11145,42515148,40.673279,-73.868523,,traffic_signals,4
11146,42515153,40.673544,-73.866668,,traffic_signals,4
11147,42515164,40.673942,-73.863919,,traffic_signals,3
11148,42515167,40.6740867,-73.8630041,,traffic_signals,4
11149,42515197,40.663255,-73.914917,,stop,4
11150,42515206,40.657108,-73.913343,,,4
11151,42515234,40.597141,-73.933483,,,3
11152,42515236,40.597719,-73.932576,,,4
11153,42515240,40.598476,-73.931404,,,4
11154,42515244,40.599437,-73.929922,,,3
11155,42515255,40.6904847,-73.939536,,,4
11156,42515276,40.614724,-73.975172,,traffic_signals,4
11157,42515286,40.611613,-73.974584,,,3
11158,42515289,40.611257,-73.974515,,,3
11159,42515293,40.61058,-73.974391,,,3
11160,42515297,40.609463,-73.974184,,traffic_signals,4
11161,42515299,40.608702,-73.974031,,traffic_signals,4
11162,42515304,40.604298,-73.973195,,traffic_signals,3
11163,42515311,40.644254,-73.980779,,,3
11164,42515317,40.640209,-73.980007,,traffic_signals,3
11165,42515319,40.639686,-73.97991,,traffic_signals,3
11166,42515321,40.639518,-73.979874,,,3
11167,42515326,40.636414,-73.979286,,,3
11168,42515328,40.63544,-73.979112,,traffic_signals,4
11169,42515331,40.634354,-73.978903,,traffic_signals,3
11170,42515334,40.633324,-73.9787079,,,3
11171,42515337,40.633045,-73.978652,,traffic_signals,3
11172,42515341,40.6323,-73.978516,,,3
11173,42515345,40.631275,-73.978311,,,3
11174,42515358,40.6249455,-73.9771223,,traffic_signals,4
11175,42515362,40.623481,-73.976834,,traffic_signals,3
11176,42515364,40.623013,-73.976753,,,3
11177,42515367,40.621995,-73.976566,,,3
11178,42515374,40.625107,-73.9771937,,,3
11179,42515380,40.6281992,-73.9777768,,,3
11180,42515384,40.59952,-73.998749,,,4
11181,42515397,40.658777,-73.902107,,,4
11182,42515401,40.65792,-73.901887,,,4
11183,42515419,40.673027,-73.905756,,traffic_signals,4
11184,42515447,40.6772608,-73.9059916,,,4
11185,42515450,40.675273,-73.906203,,,4
11186,42515456,40.6745079,-73.9062682,,traffic_signals,5
11187,42515472,40.6708838,-73.905206,,,1
11188,42515493,40.657137,-73.903644,,traffic_signals,4
11189,42515508,40.659112,-73.899217,,,4
11190,42515538,40.664353,-73.887392,,,3
11191,42515541,40.664414,-73.887261,,,3
11192,42515543,40.664708,-73.886577,,,3
11193,42515544,40.664781,-73.886413,,,3
11194,42515565,40.667872,-73.879216,,,4
11195,42515572,40.669335,-73.875794,,,4
11196,42515574,40.6697,-73.874931,,,3
11197,42515613,40.701102,-73.939244,,,3
11198,42515629,40.633474,-73.920412,,traffic_signals,3
