,filtered_street,WEIGHT
677,9th Avenue,282.0
678,9th Street,41.0
679,90th Avenue,37.0
680,90th Road,1.0
681,90th Street,67.0
682,91st Avenue,64.0
683,91st Place,1.0
684,91st Street,45.0
685,92nd Avenue,11.0
686,92nd Street,84.0
687,93rd Avenue,39.0
688,93rd Road,3.0
689,93rd Street,42.0
690,94th Avenue,28.0
691,94th Drive,1.0
692,94th Road,1.0
693,94th Street,103.0
694,95th Avenue,62.0
695,95th Street,57.0
696,96th Avenue,1.0
697,96th Street,45.0
698,97th Avenue,33.0
699,97th Place,10.0
700,97th Street,91.0
701,98th Place,1.0
702,98th Street,59.0
703,99th Avenue,44.0
704,99th Place,1.0
705,99th Street,114.0
706,A 14 Street,1.0
707,A Flatbush Avenue,1.0
708,A Lafayette Avenue,3.0
709,A Moultrie Street,1.0
710,Aaron Lane,1.0
711,Abbey Court,1.0
712,Abbot Street,1.0
713,Aberdeen Street,1.0
714,Abingdon Avenue,4.0
715,Abingdon Road,7.0
716,Academy Place,4.0
717,Academy Street,10.0
718,Ada Drive,1.0
719,Adams Avenue,5.0
720,Adams Place,5.0
721,Adams Street,49.0
722,Adee Avenue,49.0
723,Adelphi Street,12.0
724,Adler Place,1.0
725,Adlers Lane,1.0
726,Admiral Avenue,1.0
727,Adrian Avenue,3.0
728,Agar Place,3.0
729,Agnes Place,1.0
730,Aguilar Avenue,3.0
731,Ainslie Street,17.0
732,Akron Street,1.0
733,Alabama Avenue,48.0
734,Alaska Street,8.0
735,Albany Avenue,169.0
736,Albany Crescent,9.0
737,Albany Street,8.0
738,Albee Avenue,1.0
739,Albemarle Road,39.0
740,Albert Road,7.0
741,Albion Avenue,4.0
742,Alcott Place,6.0
743,Alcott Street,1.0
744,Alderton Street,15.0
745,Aldrich Street,1.0
746,Aldus Street,5.0
747,Alexander Avenue,23.0
748,Alexander Hamilton Bridge,4.0
749,Allen Avenue,2.0
750,Allen Street,49.0
751,Allendale Street,3.0
752,Allerton Avenue,103.0
753,Alley Park,1.0
754,Allison Avenue,1.0
755,Almeda Avenue,6.0
756,Alstyne Avenue,8.0
757,Altavista Court,1.0
758,Amador Street,2.0
759,Amber Street,2.0
760,Amboy Road,105.0
761,Amboy Street,29.0
762,Amersfort Place,2.0
763,Amethyst Street,1.0
764,Amherst Avenue,3.0
765,Amherst Street,1.0
766,Amity Place,7.0
767,Amity Street,3.0
768,Ampere Avenue,4.0
769,Amsterdam Avenue,444.0
770,Amundson Avenue,4.0
771,Anderson Avenue,21.0
772,Anderson Road,1.0
773,Anderson Street,3.0
774,Andrea Place,1.0
775,Andrews Avenue,26.0
776,Andrews Street,3.0
777,Andros Avenue,1.0
778,Ann Street,6.0
779,Annadale Road,23.0
780,Anthony Avenue,39.0
781,Anthony Street,8.0
782,Apollo Street,7.0
783,Appleby Avenue,1.0
784,Applegate Court,1.0
785,Aqueduct Avenue,20.0
786,Arbutus Avenue,1.0
787,Arcade Avenue,1.0
788,Archer Avenue,41.0
789,Archer Road,1.0
790,Archer Street,7.0
791,Arden Avenue,53.0
792,Arden Street,4.0
793,Ardsley Loop,1.0
794,Argyle Road,15.0
795,Arion Place,9.0
796,Arlene Street,14.0
797,Arlington Avenue,42.0
798,Arlington Place,5.0
799,Arlington Terrace,3.0
800,Armstrong Avenue,21.0
801,Arnold Avenue,1.0
802,Arnow Avenue,25.0
803,Arnow Place,1.0
804,Arthur Avenue,38.0
805,Arthur Kill Road,157.0
806,Arverne Boulevard,6.0
807,Ascan Avenue,7.0
808,Asch Loop,7.0
809,Ash Avenue,2.0
810,Ash Street,1.0
811,Ashford Street,44.0
812,Ashland Avenue,1.0
813,Ashland Place,36.0
814,Aske Street,4.0
815,Aspinwall Street,1.0
816,Aster Court,1.0
817,Astor Avenue,24.0
818,Astoria Boulevard,254.0
819,Astoria Park South,9.0
820,Atkins Avenue,35.0
821,Atlantic Avenue,1439.0
822,Attorney Street,1.0
823,Aubrey Avenue,3.0
824,Auburn Place,2.0
825,Auburndale Lane,2.0
826,Audley Street,1.0
827,Audubon Avenue,86.0
828,Augustina Avenue,3.0
829,Aultman Avenue,1.0
830,Aurelia Court,4.0
831,Austin Place,6.0
832,Austin Street,74.0
833,Autumn Avenue,34.0
834,Avenue,33.0
835,Avenue A,49.0
836,Avenue B,68.0
837,Avenue C,56.0
838,Avenue D,148.0
839,Avenue F,10.0
840,Avenue H,83.0
841,Avenue I,109.0
842,Avenue J,199.0
843,Avenue K,115.0
844,Avenue L,152.0
845,Avenue M,126.0
846,Avenue N,113.0
847,Avenue O,70.0
848,Avenue Of The Americas,379.0
849,Avenue P,124.0
850,Avenue R,66.0
851,Avenue S,72.0
852,Avenue T,86.0
853,Avenue U,211.0
854,Avenue V,67.0
855,Avenue W,59.0
856,Avenue X,66.0
857,Avenue Y,73.0
858,Avenue Z,73.0
859,Avery Avenue,16.0
860,Aviation Road,3.0
861,Avon Street,5.0
862,Azalea Court,3.0
863,Babbage Street,1.0
864,Babylon Avenue,1.0
865,Bache Avenue,1.0
866,Baden Place,1.0
867,Bailey Avenue,77.0
868,Bainbridge Avenue,84.0
869,Bainbridge Street,29.0
870,Baisley Avenue,5.0
871,Baisley Boulevard,117.0
872,Baker Avenue,1.0
873,Balcom Avenue,14.0
874,Balfour Place,1.0
875,Baltic Street,13.0
876,Bancroft Avenue,15.0
877,Bancroft Place,3.0
878,Bank Street,3.0
879,Banker Street,3.0
