filtered_street,WEIGHT
Barnett Avenue,3.0
Barnwell Avenue,4.0
Barretto Street,11.0
Barrow Street,3.0
Barry Street,8.0
Bartholdi Street,4.0
Bartlett Avenue,1.0
Bartlett Street,2.0
Bartow Avenue,109.0
Baruch Drive,3.0
Baruch Place,1.0
Bassett Avenue,2.0
Bassford Avenue,3.0
Batchelder Street,12.0
Bath Avenue,63.0
Bathgate Avenue,39.0
Battery Avenue,1.0
Battery Place,12.0
Baxter Avenue,19.0
Baxter Street,6.0
Bay 10 Street,3.0
Bay 11 Street,3.0
Bay 13 Street,3.0
Bay 14 Street,3.0
Bay 16 Street,12.0
Bay 17 Street,6.0
Bay 19 Street,7.0
Bay 20 Street,4.0
Bay 22 Street,1.0
Bay 23 Street,8.0
Bay 25 Street,12.0
Bay 26 Street,4.0
Bay 28 Street,3.0
Bay 29 Street,8.0
Bay 31 Street,1.0
Bay 32 Street,7.0
Bay 35 Street,6.0
Bay 38 Street,1.0
Bay 40 Street,10.0
Bay 43 Street,4.0
Bay 44 Street,4.0
Bay 46 Street,3.0
Bay 48 Street,1.0
Bay 49 Street,1.0
Bay 50 Street,1.0
Bay 52 Street,3.0
Bay 53 Street,1.0
Bay 54 Street,8.0
Bay 7 Street,1.0
Bay 8 Street,15.0
Bay Avenue,9.0
Bay Court,1.0
Bay Parkway,143.0
Bay Ridge Avenue,76.0
Bay Ridge Parkway,102.0
Bay Ridge Place,1.0
Bay Street,124.0
Bay Terrace,8.0
Bay View Avenue,3.0
Bayard Street,21.0
Baychester Avenue,143.0
Bayfield Avenue,1.0
Bayport Place,1.0
Bayside Avenue,6.0
Bayside Lane,3.0
Bayswater Avenue,5.0
Beach 100 Street,2.0
Beach 101 Street,3.0
Beach 105 Street,3.0
Beach 108 Street,14.0
Beach 109 Street,5.0
Beach 11 Street,4.0
Beach 111 Street,3.0
Beach 112 Street,1.0
Beach 113 Street,4.0
Beach 114 Street,1.0
Beach 116 Street,8.0
Beach 119 Street,2.0
Beach 12 Street,2.0
Beach 120 Street,1.0
Beach 121 Street,2.0
Beach 122 Street,1.0
Beach 123 Street,4.0
Beach 124 Street,3.0
Beach 129 Street,3.0
Beach 13 Street,2.0
Beach 133 Street,3.0
Beach 134 Street,1.0
Beach 136 Street,4.0
Beach 138 Street,1.0
Beach 148 Street,1.0
Beach 15 Street,1.0
Beach 16 Street,1.0
Beach 169 Street,3.0
Beach 17 Street,6.0
Beach 19 Street,31.0
Beach 20 Street,32.0
Beach 21 Street,10.0
Beach 22 Street,9.0
Beach 221 Street,3.0
Beach 26 Street,6.0
Beach 28 Street,5.0
Beach 29 Street,6.0
Beach 3 Street,1.0
Beach 32 Street,5.0
Beach 35 Street,3.0
Beach 36 Street,3.0
Beach 37 Street,4.0
Beach 38 Street,8.0
Beach 39 Street,4.0
Beach 40 Street,4.0
Beach 41 Street,6.0
Beach 42 Street,4.0
Beach 43 Street,1.0
Beach 44 Street,5.0
Beach 45 Street,1.0
Beach 46 Street,3.0
Beach 5 Street,1.0
Beach 51 Street,4.0
Beach 53 Street,3.0
Beach 54 Street,10.0
Beach 56 Place,5.0
Beach 56 Street,4.0
Beach 57 Street,3.0
Beach 58 Street,2.0
Beach 59 Street,14.0
Beach 6 Street,4.0
Beach 60 Street,2.0
Beach 61 Street,2.0
Beach 62 Street,4.0
Beach 63 Street,2.0
Beach 64 Street,3.0
Beach 65 Street,6.0
Beach 66 Street,2.0
Beach 67 Street,10.0
Beach 68 Street,2.0
Beach 69 Street,12.0
Beach 72 Street,5.0
Beach 73 Street,5.0
Beach 77 Street,1.0
Beach 79 Street,2.0
Beach 81 Street,1.0
Beach 82 Street,3.0
Beach 84 Street,1.0
Beach 85 Street,1.0
Beach 86 Street,2.0
Beach 87 Street,4.0
Beach 88 Street,5.0
Beach 9 Street,12.0
Beach 90 Street,4.0
Beach 91 Street,4.0
Beach 92 Street,6.0
Beach 94 Street,7.0
Beach 95 Street,5.0
Beach 96 Street,5.0
Beach 97 Street,1.0
Beach 98 Street,1.0
Beach 99 Street,3.0
Beach Avenue,35.0
Beach Channel Drive,280.0
Beach Street,7.0
Beacon Lane,1.0
Beadel Street,3.0
Beard Street,2.0
Beaumont Avenue,4.0
Beaumont Street,1.0
Beaver Road,3.0
Beaver Street,31.0
Beck Street,7.0
Bedell Avenue,1.0
Bedell Lane,2.0
Bedell Street,21.0
Bedford Avenue,687.0
Bedford Street,9.0
Beech Avenue,8.0
Beech Terrace,2.0
Beechwood Place,1.0
Beekman Avenue,1.0
Beekman Place,2.0
Beekman Street,13.0
Belair Road,3.0
Belfast Avenue,3.0
Belknap Street,10.0
Bell Boulevard,96.0
Bellaire Place,3.0
Bellamy Loop,4.0
Belmont Avenue,97.0
Belt Parkway,2469.0
Bement Avenue,14.0
Benchley Place,2.0
Benedict Avenue,5.0
Benham Street,1.0
Bennett Avenue,10.0
Bennett Street,3.0
Benson Avenue,39.0
Benson Street,2.0
Bentley Street,1.0
Benton Street,1.0
Benziger Avenue,3.0
Bergen Avenue,29.0
Bergen Court,2.0
Bergen Street,106.0
Berkeley Place,3.0
Berrian Boulevard,1.0
Berriman Street,19.0
Berry Street,41.0
Bertram Avenue,1.0
Bessemund Avenue,1.0
Bethel Avenue,1.0
Bethel Loop,1.0
Bethune Street,4.0
Betts Avenue,1.0
Beverley Road,162.0
Beverly Road,4.0
Bianca Court,1.0
Bidwell Avenue,1.0
Billings Place,1.0
Birch Avenue,3.0
Birch Road,3.0
Birdsall Avenue,2.0
Bishop Street,1.0
Bivona Street,3.0
Blackrock Avenue,1.0
Blackstone Avenue,1.0
Blair Avenue,1.0
Blake Avenue,113.0
Bleecker Street,87.0
Bleeker Place,1.0
Blondell Avenue,6.0
Bloomfield Avenue,3.0
Bloomingdale Road,13.0
Blossom Avenue,5.0
Boardwalk,3.0
Bodine Street,1.0
Boerum Place,41.0
Boerum Street,20.0
Bogart Avenue,2.0
Bogart Street,14.0
Bokee Court,1.0
Bolivar Street,1.0
Boller Avenue,11.0
Bolton Avenue,13.0
Bolton Street,1.0
Bond Street,45.0
Boody Street,6.0
Boone Avenue,13.0
Booth Memorial Avenue,31.0
Booth Street,8.0
Borden Avenue,163.0
Borinquen Place,26.0
Borkel Place,1.0
Borough Place,1.0
Boscobel Place,4.0
Boscombe Avenue,7.0
Boston Road,515.0
Bouck Avenue,9.0
Boundary Avenue,1.0
Bowen Street,4.0
Bowery,137.0
Bowery Street,3.0
Bowne Street,22.0
Box Street,8.0
Boyd Avenue,3.0
Boyland Street,107.0
Boynton Avenue,12.0
Brabant Street,1.0
Braddock Avenue,23.0
Bradford Street,27.0
Bradhurst Avenue,25.0
Bradley Avenue,22.0
Brady Avenue,13.0
Bragg Street,11.0
Braisted Avenue,1.0
Brandis Avenue,1.0
Brandt Place,1.0
Brenton Place,1.0
Brevoort Place,1.0
Brewer Boulevard,200.0
Bridge Street,17.0
Bridgeton Street,2.0
Bridgewater Street,4.0
Brielle Avenue,14.0
Briggs Avenue,34.0
Brigham Street,9.0
Brighton 1 Place,3.0
Brighton 1 Street,5.0
Brighton 10 Street,3.0
Brighton 11 Street,10.0
Brighton 12 Street,4.0
Brighton 13 Street,2.0
Brighton 14 Street,2.0
Brighton 15 Street,1.0
Brighton 2 Street,9.0
Brighton 3 Street,10.0
Brighton 4 Street,7.0
Brighton 5 Street,3.0
Brighton 6 Street,12.0
Brighton 7 Street,4.0
Brighton 8 Street,2.0
Brighton Avenue,3.0
Brighton Beach Avenue,70.0
Brighton Court,4.0
Brightwater Court,12.0
Brinkerhoff Avenue,4.0
Brinsmade Avenue,3.0
Brisbin Street,7.0
Bristol Street,39.0
Bristow Street,8.0
Britton Avenue,8.0
Britton Street,6.0
Broad Street,29.0
Broadway,1874.0
Broadway Terrace,5.0
Brocher Road,2.0
Bronx Boulevard,57.0
Bronx Park Avenue,7.0
Bronx Park East,79.0
Bronx Park South,13.0
Bronx River Avenue,93.0
Bronx River Parkway,537.0
Bronx River Parkway Ramp,1.0
Bronx Whitestone Bridge,27.0
Bronxdale Avenue,48.0
Bronxwood Avenue,98.0
Brook Avenue,89.0
Brook Street,7.0
Brookdale Plaza,5.0
Brookhaven Avenue,17.0
Brooklyn Avenue,192.0
Brooklyn Battery Tunnel,8.0
Brooklyn Bridge,25.0
Brooklyn Qns Expressway,10.0
Brooklyn Queens Expressway,1448.0
Brooklyn Queens Expressway Ramp,13.0
Brooklyn Queens Expy (Cdr),1.0
Brooks Pond Place,1.0
Brookside Street,3.0
Brookville Boulevard,115.0
Broome Street,51.0
Brown Place,8.0
Brown Street,15.0
Browvale Lane,1.0
Bruckner Avenue,1.0
Bruckner Boulevard,942.0
Bruckner Expressway,665.0
Bruckner Expressway Ramp,4.0
Bruner Avenue,19.0
Brunswick Avenue,1.0
Brush Avenue,35.0
Bryant Avenue,50.0
Bryant Park,4.0
Bryant Street,1.0
Buchanan Place,2.0
Buck Street,3.0
Bud Place,1.0
Buel Avenue,4.0
Buell Street,1.0
Buffalo Avenue,67.0
Buffalo Street,6.0
Buhre Avenue,11.0
Bullard Avenue,4.0
Bulova Avenue,1.0
Bulwer Place,1.0
Burbank Avenue,2.0
Burden Crescent,1.0
Burgher Avenue,3.0
Burke Avenue,54.0
Burling Street,4.0
Burnett Street,2.0
Burns Street,10.0
Burr Avenue,3.0
Bush Avenue,1.0
Bush Street,1.0
Bushwick Avenue,543.0
Bushwick Place,2.0
Bussing Avenue,22.0
